Class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Normal,0.168613151,0.209766209,-0.865169644,0.999997258,0.169153452,0.193748534,-0.835498452,0.999992728,0.175865144,0.192259774,-0.835397303,0.99998939,0.181827933,0.190920487,-0.835242987,0.999986291,0.146769375,0.19743365,-0.854149759,0.999994397,0.135907471,0.198549464,-0.854246378,0.999994159,0.126009524,0.199634597,-0.854234278,0.99999404,0.186153859,0.192798287,-0.584515929,0.999956846,0.105708584,0.204488933,-0.676282763,0.999993443,0.184313059,0.220458329,-0.764160931,0.999993563,0.155807734,0.224253833,-0.789787352,0.999997497,0.255414486,0.249445841,-0.335073203,0.999988079,0.068451464,0.282828033,-0.544613838,0.999992132,0.314317256,0.329090297,-0.156737328,0.93796432,0.062539473,0.388231367,-0.518301189,0.996974349,0.358889252,0.396814406,-0.339150846,0.976947784,0.154131353,0.461504817,-0.645339251,0.990718544,0.380919695,0.420188636,-0.394331366,0.95628655,0.167087525,0.489592731,-0.711277962,0.97794956,0.36727643,0.420153469,-0.457315594,0.959061623,0.189079747,0.481649339,-0.751642406,0.978289664,0.35466522,0.413392454,-0.368504167,0.954109728,0.188361883,0.470872968,-0.660967529,0.974266291,0.291288584,0.424493104,0.066719897,0.999965549,0.184365243,0.448081702,-0.067295678,0.999962807,0.346341193,0.515168548,0.377916425,0.954272389,0.209332958,0.530202448,0.265757561,0.980241776,0.385181308,0.58601886,0.84932369,0.971127391,0.249396771,0.608356118,0.786640525,0.977776766,0.372588217,0.598933995,0.890330851,0.930719137,0.256405771,0.615841866,0.833901465,0.877023995,0.457150251,0.619367957,0.737327933,0.973262727,0.280480862,0.649930596,0.657088995,0.965736687
Normal,0.172815189,0.209691733,-0.820416987,0.999997258,0.173458457,0.193651184,-0.792124569,0.999992788,0.180782542,0.192163125,-0.792008102,0.99998945,0.186957851,0.190844834,-0.791817248,0.999986351,0.150562733,0.197299927,-0.810839534,0.999994457,0.14064227,0.198387429,-0.810916841,0.999994218,0.130587295,0.199535236,-0.810907423,0.999994099,0.191731766,0.192773446,-0.554201543,0.999956846,0.110144749,0.204489008,-0.647697508,0.999993503,0.189106524,0.220191687,-0.725024819,0.999993563,0.161252767,0.224145651,-0.751008213,0.999997497,0.261350513,0.249769658,-0.325416178,0.999987602,0.071986727,0.282818198,-0.522308767,0.999992013,0.319997907,0.32980001,-0.151423112,0.936958253,0.06361261,0.388266414,-0.498204738,0.99690479,0.362295091,0.39680022,-0.319225013,0.976796567,0.15422985,0.461496145,-0.612043858,0.990454674,0.383844048,0.420192093,-0.371617794,0.956267178,0.167359352,0.489580721,-0.671924949,0.977505565,0.369873196,0.420100391,-0.431853235,0.958973408,0.189177945,0.481646091,-0.7141366,0.977818906,0.357122749,0.413355947,-0.347065866,0.954012692,0.188433766,0.470876962,-0.628252447,0.973811507,0.294072151,0.426871449,0.066449068,0.999965608,0.186474219,0.449186832,-0.067019925,0.999963045,0.348979205,0.51660043,0.396053374,0.954495728,0.210247442,0.530864656,0.283321112,0.980589092,0.394543737,0.588113606,0.803914905,0.971893609,0.249205932,0.608782351,0.775858402,0.978076279,0.383372754,0.602668762,0.836735249,0.932565391,0.25633958,0.616005182,0.819302917,0.878920019,0.464405894,0.623133481,0.689096868,0.973801255,0.280237913,0.64990598,0.652426302,0.96594286
Normal,0.179724127,0.209903866,-0.794244468,0.999997139,0.182185993,0.19386296,-0.767438948,0.99999249,0.189483047,0.192384019,-0.767322659,0.999988914,0.196074963,0.191049859,-0.767121792,0.999985754,0.158116773,0.197518289,-0.78578639,0.999994397,0.148605525,0.198582515,-0.785884023,0.999994159,0.138353944,0.199696094,-0.785906971,0.999994099,0.201678991,0.192832261,-0.539064348,0.999954045,0.117547698,0.204563245,-0.631121337,0.999993503,0.196112841,0.220225394,-0.702519655,0.999993265,0.169078678,0.224273652,-0.727994978,0.999997437,0.274479419,0.250524342,-0.316991776,0.999985695,0.079821892,0.28289336,-0.520570338,0.999991894,0.332531542,0.331456155,-0.147813767,0.933741987,0.070818484,0.388666272,-0.496382892,0.996868074,0.370732784,0.396918625,-0.303525895,0.97528702,0.159250796,0.46220389,-0.594832659,0.990153968,0.39111793,0.421320558,-0.353542328,0.954359531,0.173468515,0.490148723,-0.652259827,0.977004349,0.376718789,0.420913875,-0.409702569,0.957001507,0.192970052,0.48284021,-0.690553844,0.977289259,0.363299936,0.41415152,-0.329236716,0.951999187,0.191627786,0.472143441,-0.609158039,0.973308623,0.30355081,0.430669963,0.069223091,0.999964714,0.195273072,0.451642513,-0.069774471,0.999962986,0.358108312,0.520444453,0.410836071,0.954020083,0.217505783,0.531489432,0.287242889,0.981132388,0.404532671,0.592763901,0.800710559,0.972321987,0.249347746,0.609308541,0.76701057,0.978441477,0.392013192,0.609814227,0.833711147,0.934836745,0.256535798,0.616424263,0.810360551,0.881646097,0.478808135,0.630629659,0.699150562,0.974021733,0.280766606,0.649913192,0.652932525,0.965978444
Normal,0.189029992,0.209897578,-0.737249553,0.999997139,0.192183658,0.193875507,-0.712731898,0.99999249,0.200011984,0.192395836,-0.712594867,0.999988794,0.207002014,0.191061437,-0.712350607,0.999985695,0.16775988,0.197550923,-0.731273651,0.999994516,0.158561081,0.198652923,-0.731365442,0.999994338,0.149055183,0.199806273,-0.731371641,0.999994338,0.213115066,0.192831442,-0.500645757,0.999953389,0.128956631,0.204981059,-0.594011843,0.999993801,0.206328124,0.220153078,-0.652412832,0.999993324,0.179437891,0.224309444,-0.678192496,0.999997556,0.286732554,0.251246691,-0.288925976,0.999983907,0.090126514,0.283302873,-0.508840621,0.999992132,0.345668912,0.33518976,-0.105474681,0.929858804,0.081146598,0.390369922,-0.489752442,0.996960163,0.381633788,0.39904061,-0.216461465,0.97355783,0.164714187,0.463095993,-0.57601279,0.990337014,0.399186224,0.424053222,-0.255399942,0.952185631,0.178808093,0.491263837,-0.631331146,0.977452874,0.385736942,0.423390269,-0.31006825,0.95475167,0.197663605,0.484458178,-0.664316058,0.97770983,0.373132586,0.417401791,-0.240205318,0.949970543,0.196572945,0.473864108,-0.587978482,0.97386843,0.31267789,0.434404999,0.073251545,0.999964237,0.205528378,0.454677761,-0.07381928,0.999963582,0.36346513,0.522042572,0.429912448,0.95329088,0.222270444,0.532339513,0.28550151,0.9817518,0.407381654,0.594429791,0.809092879,0.972717106,0.249369755,0.609340966,0.727384865,0.978911161,0.393898517,0.612452209,0.843180776,0.936840534,0.256785512,0.616370142,0.769402504,0.884436786,0.482476801,0.632441878,0.717402399,0.974253714,0.280686319,0.649925113,0.634350896,0.96639204
Normal,0.197399333,0.209038153,-0.638439417,0.999997079,0.200732708,0.193307549,-0.614889622,0.99999249,0.208414882,0.191977933,-0.61477685,0.999988794,0.215184703,0.190780908,-0.614552677,0.999985754,0.176382422,0.197144851,-0.631636798,0.999994636,0.167097926,0.198388144,-0.631719172,0.999994457,0.157876909,0.199638098,-0.631709933,0.999994516,0.220182091,0.192796335,-0.426515579,0.999953091,0.139193296,0.204998001,-0.51212883,0.99999404,0.214579061,0.219033465,-0.564498842,0.999993443,0.18687287,0.223712236,-0.587897539,0.999997616,0.296883315,0.251415312,-0.247448787,0.999981046,0.099357903,0.284212679,-0.449941456,0.999992073,0.357400268,0.335769832,-0.088290781,0.926506519,0.09049435,0.390693814,-0.428990513,0.997019589,0.388590932,0.400923789,-0.186710894,0.971275926,0.168845415,0.463640153,-0.495171487,0.990484357,0.405813873,0.426677287,-0.224021077,0.949168026,0.182611063,0.491808981,-0.544289052,0.977886438,0.392108291,0.426003754,-0.273824424,0.951719403,0.201492399,0.485329926,-0.573986709,0.978135347,0.37980482,0.42041561,-0.208485723,0.94729197,0.20031105,0.474446595,-0.505854905,0.974501431,0.323122919,0.434727043,0.073565289,0.999961913,0.216362312,0.455126345,-0.074120201,0.999963045,0.369158268,0.522033274,0.425557494,0.951331079,0.23342669,0.533786654,0.228108317,0.982174814,0.40988788,0.594845712,0.731853306,0.972672045,0.249877423,0.60994041,0.596087992,0.979225338,0.396715343,0.612733245,0.76032877,0.937976003,0.256785601,0.616856337,0.6312204,0.886195004,0.482493162,0.632654727,0.665254295,0.973942399,0.281080067,0.650259316,0.509081364,0.966551363
Normal,0.212512776,0.207955316,-0.59025842,0.999996603,0.213366807,0.192587242,-0.57047075,0.999991536,0.21969083,0.191416875,-0.570394158,0.999987423,0.225326374,0.190373674,-0.570216179,0.999984384,0.190816045,0.196474388,-0.589987636,0.999994099,0.182519704,0.19774738,-0.590072989,0.99999392,0.172999591,0.199153751,-0.590105295,0.999994159,0.22682488,0.19268693,-0.39815864,0.999947965,0.152404562,0.204971924,-0.495856971,0.999993622,0.227536559,0.217794135,-0.521660149,0.999993086,0.201278776,0.222823203,-0.548490882,0.999997497,0.305335015,0.251079679,-0.2467563,0.999977648,0.107546657,0.284499109,-0.431861311,0.999991238,0.368244886,0.334758729,-0.104323737,0.924283504,0.099351257,0.390063822,-0.413120896,0.996934772,0.400834888,0.400385797,-0.230433941,0.968940318,0.173684075,0.463431954,-0.468838096,0.989880562,0.416473418,0.426337034,-0.273909241,0.946357191,0.186208412,0.491636693,-0.510619879,0.977085531,0.402656585,0.425744951,-0.323015422,0.948908865,0.205538511,0.48534888,-0.544823229,0.977347195,0.390771747,0.420162559,-0.252927184,0.944819152,0.204791307,0.474388987,-0.480903387,0.973943412,0.337203801,0.434477627,0.069341972,0.999956608,0.22997725,0.455001414,-0.069770202,0.999960363,0.381724834,0.522110343,0.371267408,0.950600624,0.245668665,0.535968184,0.205011144,0.982376099,0.41330108,0.597203076,0.662525117,0.973049521,0.250169158,0.609990418,0.535857737,0.97933042,0.399914563,0.613898277,0.688188493,0.939893365,0.256834537,0.616855204,0.566637516,0.887758672,0.483487815,0.633072734,0.604856908,0.973870575,0.280278951,0.650289357,0.456871867,0.966212332
Normal,0.217597365,0.207101345,-0.601374209,0.999996603,0.219058573,0.191749811,-0.58068651,0.999991596,0.225983873,0.190632522,-0.580593169,0.999987483,0.232192889,0.189677998,-0.580390751,0.999984562,0.19543238,0.195913658,-0.597276807,0.999994218,0.186537847,0.197346166,-0.597374916,0.999994099,0.177118555,0.198901564,-0.597397566,0.999994397,0.235976696,0.192281589,-0.405674696,0.999948263,0.158339873,0.20497781,-0.491284132,0.999993861,0.234429449,0.217072785,-0.53214407,0.999993265,0.207120329,0.222511083,-0.55531323,0.999997616,0.314676315,0.25080815,-0.246367231,0.999975264,0.116530314,0.28465718,-0.428331643,0.999991179,0.377814054,0.334558874,-0.105879247,0.922741652,0.109038703,0.390054733,-0.409491301,0.996973932,0.412261903,0.400294751,-0.215163022,0.967808962,0.184860408,0.463878036,-0.475596875,0.989902377,0.42762661,0.426381171,-0.257462829,0.944969594,0.196781516,0.492413551,-0.519988298,0.977266192,0.412896693,0.425551236,-0.303355008,0.947560549,0.216249034,0.487220764,-0.553137302,0.977543175,0.401135594,0.419736654,-0.235843405,0.94373399,0.2157401,0.47585991,-0.487408966,0.974405885,0.348514974,0.434657514,0.067856006,0.999954283,0.244581163,0.455615252,-0.068233877,0.999959886,0.392498583,0.524368703,0.365377665,0.949371874,0.255304515,0.538225114,0.221608892,0.982632816,0.416735262,0.599516869,0.668661714,0.973142564,0.250431001,0.609982848,0.584741414,0.979423165,0.402065367,0.61507386,0.695223868,0.941673994,0.256571144,0.616712511,0.618798375,0.889493048,0.482968509,0.632752955,0.613274574,0.973651111,0.280083567,0.65048027,0.508609116,0.965859175
Normal,0.225713402,0.204963773,-0.657663286,0.999996781,0.22799319,0.189930871,-0.634569168,0.999992132,0.235005245,0.188895553,-0.634438634,0.999988258,0.241317213,0.188104495,-0.634235024,0.999985576,0.203022197,0.194248751,-0.651784718,0.999994636,0.193864942,0.195830211,-0.651891053,0.999994516,0.184341058,0.197556898,-0.65189302,0.999994814,0.245690256,0.190997362,-0.442955762,0.999951482,0.166898161,0.203955978,-0.53206414,0.999994338,0.24297215,0.215105504,-0.582109749,0.999993742,0.214592874,0.22078687,-0.60645026,0.999997795,0.32517001,0.250802159,-0.256958723,0.99997443,0.125716433,0.284614474,-0.452565879,0.999991477,0.382619917,0.334966958,-0.122225538,0.921991527,0.115741871,0.388988435,-0.413877457,0.997056246,0.419044584,0.401230812,-0.235188603,0.96756357,0.196908385,0.463909239,-0.512528419,0.990016639,0.434489638,0.427240282,-0.280132234,0.944622934,0.208634466,0.492399365,-0.564637959,0.977493525,0.420261234,0.425946087,-0.330080569,0.947209656,0.226919532,0.487805784,-0.599788904,0.977764666,0.408679247,0.419960827,-0.258035243,0.943396568,0.226666674,0.476520807,-0.526102602,0.974823594,0.35500744,0.434464157,0.067146361,0.999955058,0.25408119,0.455058843,-0.067554757,0.999961436,0.39376381,0.523997486,0.382866949,0.948676765,0.264084011,0.537852466,0.252779782,0.982887685,0.418075889,0.599753559,0.71593523,0.973473608,0.253518999,0.60885644,0.62256974,0.97973901,0.405008644,0.614927411,0.746431589,0.943637609,0.256398022,0.615112424,0.663638175,0.890860319,0.48252213,0.633053362,0.627728939,0.973923981,0.280347735,0.650940537,0.542764366,0.966009378
Normal,0.233119309,0.20173274,-0.598942459,0.999996364,0.235748738,0.187522545,-0.577757239,0.999991357,0.242612928,0.186440155,-0.577687502,0.999987066,0.248926386,0.18560873,-0.577536225,0.999984443,0.210151792,0.192167446,-0.591907561,0.999994099,0.200532153,0.193877384,-0.592009485,0.99999398,0.191049695,0.19570753,-0.592077971,0.999994457,0.252585799,0.188808575,-0.408014715,0.999946952,0.173363984,0.202066138,-0.482521236,0.999993801,0.250538975,0.212026536,-0.532772362,0.999993443,0.221679062,0.217840523,-0.552757263,0.999997675,0.335277379,0.250451028,-0.265806794,0.99997139,0.13266027,0.284250706,-0.405686617,0.999990463,0.391085178,0.334458649,-0.17009525,0.921686828,0.120522194,0.387287468,-0.390187025,0.9969396,0.42705816,0.400550455,-0.302555293,0.966255844,0.204293713,0.462634176,-0.469107091,0.98940444,0.441297442,0.427056789,-0.354314357,0.943224013,0.215794012,0.491170943,-0.51206404,0.976514161,0.42696923,0.425014347,-0.392676264,0.945745468,0.235659257,0.487737209,-0.544854939,0.976803243,0.416006058,0.418765843,-0.321121603,0.941858292,0.235283256,0.476471782,-0.481372118,0.974113762,0.363983095,0.43426457,0.046965752,0.999952257,0.259470105,0.454832196,-0.047394704,0.999959588,0.399959266,0.523729086,0.339520425,0.947512984,0.276031256,0.537590921,0.253430814,0.981349826,0.417491049,0.599109232,0.654711723,0.97290343,0.259557039,0.604254425,0.627663732,0.977673054,0.405463934,0.614576876,0.682231903,0.942033529,0.257803559,0.610083997,0.663329005,0.884497523,0.481930494,0.632986486,0.585789204,0.972986996,0.280568361,0.650639474,0.550296128,0.963213325
Normal,0.242526919,0.20001027,-0.609833062,0.999996305,0.244947493,0.186305299,-0.590411842,0.999991357,0.251634896,0.185238391,-0.59031117,0.999986947,0.257895976,0.184396803,-0.590176404,0.999984443,0.220006436,0.190787256,-0.603342354,0.999994159,0.210309401,0.192490175,-0.603474557,0.99999404,0.200734675,0.194308847,-0.603523135,0.999994636,0.260861546,0.187530443,-0.421716452,0.999946833,0.182418361,0.200411305,-0.492773682,0.99999398,0.25933376,0.210447252,-0.54409647,0.999993622,0.231221229,0.216288269,-0.562890172,0.999997795,0.343319118,0.250254929,-0.270813197,0.999966264,0.140264764,0.283224851,-0.419971883,0.999990404,0.397515118,0.334459901,-0.179347277,0.918251574,0.122336924,0.385216326,-0.407665372,0.997024894,0.433856636,0.400480241,-0.297107756,0.961841404,0.210514665,0.459511966,-0.477184296,0.989237785,0.447609127,0.42697525,-0.345414549,0.937792957,0.222611278,0.486562848,-0.51719451,0.976200879,0.43596518,0.42497924,-0.387847692,0.94030863,0.243572682,0.484644473,-0.546759129,0.976488769,0.426070333,0.418661594,-0.316885531,0.936329186,0.242977977,0.474122047,-0.487833858,0.974063575,0.372292787,0.432910442,0.046227593,0.999948084,0.269802809,0.451247692,-0.046677023,0.999958336,0.403814971,0.523593128,0.320875525,0.945456386,0.289029956,0.537404776,0.228334263,0.980424225,0.417793304,0.598680079,0.599482477,0.97216171,0.266326666,0.600683033,0.55770731,0.976279974,0.406478316,0.614015996,0.622333169,0.940948904,0.263076186,0.606534123,0.587360322,0.879947186,0.481862128,0.633083284,0.533141255,0.971941173,0.280653119,0.650111139,0.481125385,0.961306334
